case,run,warmup,input,input_seconds,perception_frames,perception_ms,timeline_ms,drain_frames,drain_ms,wav_write_ms,first_text_ms,audio_ready_ms,total_ms,output_seconds,total_s2s_rtf,spoken_tokens,timeline_frame,text,output_sha256,exit_status,tool_calls
VC01,0,1,VC01-short.wav,2.960000,38,217,2916,26,583,712,2289.046,4428.275,4428.298,3.920000,1.129668,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,1,1,VC01-short.wav,2.960000,38,20,2899,26,581,712,2078.430,4212.434,4212.456,3.920000,1.074606,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,2,1,VC01-short.wav,2.960000,38,19,2903,26,582,714,2078.828,4218.304,4218.332,3.920000,1.076105,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,3,0,VC01-short.wav,2.960000,38,20,2900,26,581,714,2076.336,4215.466,4215.490,3.920000,1.075380,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,4,0,VC01-short.wav,2.960000,38,20,2906,26,583,716,2083.792,4224.685,4224.721,3.920000,1.077735,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,5,0,VC01-short.wav,2.960000,38,20,2908,26,585,717,2080.014,4229.707,4229.733,3.920000,1.079014,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,6,0,VC01-short.wav,2.960000,38,19,2924,26,585,718,2093.640,4246.939,4246.980,3.920000,1.083413,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,7,0,VC01-short.wav,2.960000,38,21,2912,26,583,720,2089.211,4235.498,4235.526,3.920000,1.080491,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,8,0,VC01-short.wav,2.960000,38,19,2916,26,586,721,2090.689,4242.341,4242.366,3.920000,1.082236,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,9,0,VC01-short.wav,2.960000,38,20,2908,26,583,722,2081.947,4232.860,4232.891,3.920000,1.079819,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,10,0,VC01-short.wav,2.960000,38,21,2916,26,585,723,2093.079,4244.862,4244.889,3.920000,1.082880,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,11,0,VC01-short.wav,2.960000,38,20,2911,26,586,724,2086.069,4241.115,4241.141,3.920000,1.081924,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,12,0,VC01-short.wav,2.960000,38,20,2913,26,585,725,2085.099,4242.700,4242.723,3.920000,1.082327,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,13,0,VC01-short.wav,2.960000,38,20,2909,26,587,725,2085.173,4240.802,4240.830,3.920000,1.081845,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,14,0,VC01-short.wav,2.960000,38,21,2910,26,586,725,2086.286,4242.644,4242.669,3.920000,1.082313,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,15,0,VC01-short.wav,2.960000,38,20,2916,26,584,727,2088.083,4247.176,4247.200,3.920000,1.083469,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,16,0,VC01-short.wav,2.960000,38,19,2930,26,591,728,2098.543,4268.337,4268.365,3.920000,1.088869,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,17,0,VC01-short.wav,2.960000,38,20,2929,26,585,730,2102.008,4264.333,4264.356,3.920000,1.087846,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,18,0,VC01-short.wav,2.960000,38,20,2909,26,581,730,2081.227,4239.837,4239.872,3.920000,1.081600,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,19,0,VC01-short.wav,2.960000,38,19,2909,26,585,731,2081.823,4244.068,4244.090,3.920000,1.082676,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,20,0,VC01-short.wav,2.960000,38,21,2922,26,584,732,2099.728,4259.289,4259.307,3.920000,1.086558,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
VC01,21,0,VC01-short.wav,2.960000,38,19,2922,26,585,732,2092.557,4258.012,4258.039,3.920000,1.086235,9,56,</s><s>The capital of France is Paris.,4b1ecaad8d8bb71f416b50d55ac1f1508505f212d1e4b9852cb3b3f6beb43134,0,
